,RM,LSTAT,PTRATIO,MEDV,PRED_MEDV_LR,PRED_MEDV_RF
0,6.575,4.98,15.3,504000.0,630636.304649907,618870.0
1,6.421,9.14,17.8,453600.0,523271.9340588179,488040.0
2,7.185,4.03,17.8,728700.0,653678.257697685,735840.0
3,6.997999999999999,2.94,18.7,701400.0,628424.7586454215,712530.0
4,7.147,5.33,18.7,760200.0,618840.9323726315,748860.0
5,6.43,5.21,18.7,602700.0,547283.5533741068,539070.0
6,6.0120000000000005,12.43,15.2,480900.0,498391.3892808356,475020.0
7,6.172000000000001,19.15,15.2,569100.0,445153.23722376535,513660.0
8,5.631,29.93,15.2,346500.0,278762.0027698855,336840.0
9,6.004,17.1,15.2,396900.0,449292.4438927981,418740.0
10,6.377000000000001,20.45,15.2,315000.0,452525.52157331933,321720.0
11,6.0089999999999995,13.27,15.2,396900.0,489401.39368719904,484260.0
12,5.888999999999999,15.71,15.2,455700.0,451988.5813672643,445200.0
13,5.949,8.26,21.0,428400.0,422092.69678049,426090.0
14,6.096,10.26,21.0,382200.0,416338.3148505254,392490.0
15,5.834,8.47,21.0,417900.0,408245.213642606,421470.0
16,5.935,6.58,21.0,485100.0,438042.0561534127,456330.0
17,5.99,14.67,21.0,367500.0,359977.61192167964,369810.0
18,5.456,11.69,21.0,424200.0,336572.2358690344,408030.0
19,5.727,11.28,21.0,382200.0,368326.59973539296,376110.0
20,5.57,21.02,21.0,285600.0,251676.84951506264,279510.0
21,5.965,13.83,21.0,411600.0,366124.7229752259,415590.0
22,6.142,18.72,21.0,319200.0,333534.37403572886,334530.0
23,5.813,19.88,21.0,304500.0,288136.3557457158,296310.0
24,5.9239999999999995,16.3,21.0,327600.0,336422.7134354925,340830.0
25,5.599,16.51,21.0,291900.0,301253.59624693246,326760.0
26,5.813,14.81,21.0,348600.0,340558.9535611006,358890.0
27,6.047000000000001,17.28,21.0,310800.0,338778.13146868115,319830.0
28,6.495,12.8,21.0,386400.0,430586.4218247039,402360.0
29,6.6739999999999995,11.98,21.0,441000.0,457239.18212696665,457590.0
30,5.712999999999999,22.6,21.0,266700.0,249859.04163296992,270270.0
31,6.072,13.04,21.0,304500.0,385157.0158593468,355320.0
32,5.95,27.71,21.0,277200.0,221085.8403023251,244230.0
33,5.7010000000000005,18.35,21.0,275100.0,292584.65479591524,284340.0
34,6.096,20.34,21.0,283500.0,312113.504992719,268170.0
35,5.933,9.68,19.2,396900.0,440860.59429605684,420420.0
36,5.841,11.41,19.2,420000.0,413631.8981629428,427560.0
37,5.85,8.77,19.2,441000.0,441842.65648977814,440790.0
38,5.966,10.13,19.2,518700.0,439558.24349251104,422520.0
39,6.595,4.32,18.3,646800.0,581033.0695326721,647010.0
40,7.024,1.98,18.3,732900.0,648785.1670960439,726600.0
41,6.77,4.84,17.9,558600.0,601218.8359337789,609000.0
42,6.169,5.81,17.9,531300.0,530168.7799163212,529410.0
43,6.211,7.44,17.9,518700.0,517579.29322762473,509880.0
44,6.069,9.55,17.9,445200.0,481344.90766320215,444360.0
45,5.682,10.21,17.9,405300.0,435227.9385529333,401940.0
46,5.7860000000000005,14.15,17.9,420000.0,405048.5582296414,421890.0
47,6.03,18.8,17.9,348600.0,381742.3689600696,377580.0
48,5.399,30.81,17.9,302400.0,193495.3829958702,324660.0
49,5.602,16.2,17.9,407400.0,365170.2316280468,420210.0
50,5.962999999999999,13.45,16.8,413700.0,451692.12429707526,479640.0
51,6.115,9.43,16.8,430500.0,508690.7728746661,452130.0
52,6.511,5.28,16.8,525000.0,591807.2987620814,565740.0
53,5.997999999999999,8.43,16.8,491400.0,507151.33964343683,463260.0
54,5.888,14.8,21.1,396900.0,346328.6168126013,370650.0
55,7.249,4.81,17.9,743400.0,650162.6607739453,739410.0
56,6.382999999999999,5.77,17.3,518700.0,564001.7529320118,531510.0
57,6.816,3.95,15.1,663600.0,669652.581144305,664020.0
58,6.145,6.86,19.7,489300.0,481800.4044517386,490560.0
59,5.9270000000000005,9.22,19.7,411600.0,435264.67727210594,412440.0
60,5.7410000000000005,13.15,19.7,392700.0,375744.53326956485,392910.0
61,5.966,14.44,19.7,336000.0,385250.847062296,349860.0
62,6.456,6.73,19.7,466200.0,514720.89833963604,485940.0
63,6.7620000000000005,9.5,19.7,525000.0,517148.4219140612,512190.0
64,7.104,8.05,18.6,693000.0,588299.5226119226,699300.0
65,6.29,4.67,16.1,493500.0,589316.2983399464,534450.0
66,5.787000000000001,10.24,16.1,407400.0,480653.4289522974,429240.0
67,5.877999999999999,8.1,18.9,462000.0,457458.9932047078,440160.0
68,5.593999999999999,13.09,18.9,365400.0,377028.6046561692,373170.0
69,5.885,8.79,18.9,438900.0,451035.2779506544,437220.0
70,6.417000000000001,6.72,19.2,508200.0,520607.58233617723,503370.0
71,5.961,9.88,19.2,455700.0,441635.52625960327,435120.0
72,6.065,5.52,19.2,478800.0,497276.1778628781,481740.0
73,6.245,7.54,19.2,491400.0,494665.54316893674,497910.0
74,6.273,6.78,18.7,506100.0,515109.6659055898,521220.0
75,6.2860000000000005,8.94,18.7,449400.0,494095.68875824474,522480.0
76,6.279,11.97,18.7,420000.0,462055.4860885838,449610.0
77,6.14,10.27,18.7,436800.0,465520.1918794728,443520.0
78,6.232,12.34,18.7,445200.0,453457.78905825515,446250.0
79,5.874,9.1,18.7,426300.0,450610.31132139754,439740.0
80,6.727,5.29,19.0,588000.0,570765.4437431702,563220.0
81,6.619,7.22,19.0,501900.0,539844.2895820321,510930.0
82,6.3020000000000005,6.72,19.0,520800.0,512828.6567659427,512820.0
83,6.167000000000001,7.51,19.0,480900.0,490953.47934173176,487830.0
84,6.388999999999999,9.62,18.5,501900.0,501419.61120417726,517440.0
85,6.63,6.53,18.5,558600.0,557838.5918746974,533820.0
86,6.015,12.86,18.5,472500.0,429945.9645358213,470610.0
87,6.121,8.44,18.5,466200.0,486410.0650934945,464520.0
88,7.007000000000001,5.5,17.8,495600.0,620406.1831123724,621600.0
89,7.079,5.7,17.8,602700.0,625648.5050674889,645540.0
90,6.417000000000001,8.81,17.8,474600.0,526277.9294472451,500640.0
91,6.405,8.2,17.8,462000.0,531366.8057170935,478800.0
92,6.442,8.16,18.2,480900.0,527742.6503643927,491400.0
93,6.211,6.21,18.2,525000.0,524451.3905299511,519330.0
94,6.249,10.59,18.2,432600.0,483021.4295509073,449610.0
95,6.625,6.65,18.0,596400.0,565833.1807808803,587160.0
96,6.162999999999999,11.34,18.0,449400.0,470432.0979494413,445200.0
97,8.068999999999999,4.21,18.0,812700.0,737673.8192107913,863520.0
98,7.82,3.57,18.0,919800.0,719009.9013670728,832440.0
99,7.416,6.19,18.0,697200.0,650900.9599644772,697620.0
100,6.727,9.42,20.9,577500.0,491038.7530958942,535710.0
101,6.781000000000001,7.67,20.9,556500.0,514616.04403939756,519960.0
102,6.405,10.63,20.9,390600.0,445834.46779676777,415170.0
103,6.1370000000000005,13.44,20.9,405300.0,389569.26778403646,401940.0
104,6.167000000000001,12.33,20.9,422100.0,404092.35230537964,422310.0
105,5.851,16.47,20.9,409500.0,329201.75130419177,377370.0
106,5.836,18.66,20.9,409500.0,305034.69673027494,325080.0
107,6.127000000000001,14.09,20.9,428400.0,381833.1060030941,429450.0
108,6.474,12.27,20.9,415800.0,435882.9364286167,413280.0
109,6.229,15.55,20.9,407400.0,377093.27444751,366450.0
110,6.195,13.0,20.9,455700.0,400007.595714048,403410.0
111,6.715,10.16,17.8,478800.0,542575.6635893909,482580.0
112,5.912999999999999,16.21,17.8,394800.0,398591.76239350275,400050.0
113,6.0920000000000005,17.09,17.8,392700.0,407666.9257951435,400680.0
114,6.254,10.45,17.8,388500.0,492771.06903263275,458010.0
115,5.928,15.76,17.8,384300.0,404767.6295514889,389760.0
116,6.176,12.04,17.8,445200.0,468411.38197314437,437850.0
117,6.021,10.3,17.8,403200.0,470665.17282786197,434280.0
118,5.872000000000001,15.37,17.8,428400.0,403114.3679955691,409290.0
119,5.731,13.61,17.8,405300.0,406996.39637798606,454860.0
120,5.87,14.37,19.1,462000.0,387919.2198420417,423150.0
121,6.004,14.27,19.1,426300.0,402558.42928645917,422730.0
122,5.961,17.93,19.1,430500.0,360349.0387348555,458220.0
123,5.856,25.41,19.1,363300.0,272346.7953467801,345030.0
124,5.879,17.58,19.1,394800.0,355642.3653049716,425460.0
125,5.986000000000001,14.81,19.1,449400.0,395147.38869687606,449400.0
126,5.6129999999999995,27.26,19.1,329700.0,228546.0574693964,337890.0
127,5.693,17.19,21.2,340200.0,299869.3196518504,320250.0
128,6.431,15.39,21.2,378000.0,393411.206790263,364350.0
129,5.6370000000000005,18.34,21.2,300300.0,282292.82325654355,303870.0
130,6.457999999999999,12.6,21.2,403200.0,425000.4981824213,404880.0
131,6.3260000000000005,12.26,21.2,411600.0,415113.8475878352,427140.0
132,6.372000000000001,11.12,21.2,483000.0,431571.63044713996,453600.0
133,5.822,15.03,21.2,386400.0,335300.7826810814,374850.0
134,5.757000000000001,17.31,21.2,327600.0,305126.56991184456,313320.0
135,6.335,16.96,21.2,380100.0,367430.746355514,349020.0
136,5.942,16.9,21.2,365400.0,328149.2169764977,356370.0
137,6.454,14.59,21.2,359100.0,404018.2436829407,370440.0
138,5.857,21.32,21.2,279300.0,273817.2798238922,283080.0
139,6.151,18.46,21.2,373800.0,333239.28933941474,357630.0
140,6.1739999999999995,24.16,21.2,294000.0,276637.8674944195,244230.0
141,5.019,34.41,21.2,302400.0,53386.310667832906,303660.0
142,5.403,26.82,14.7,281400.0,297512.4810572467,293160.0
143,5.468,26.42,14.7,327600.0,308247.9396069721,311640.0
144,4.9030000000000005,29.29,14.7,247800.0,221207.47137817874,324240.0
145,6.13,27.8,14.7,289800.0,361192.9798838082,297360.0
146,5.627999999999999,16.65,14.7,327600.0,425512.4774859365,358890.0
147,4.926,29.53,14.7,306600.0,221061.15487282875,324240.0
148,5.186,28.32,14.7,373800.0,259970.48154746986,341880.0
149,5.597,21.45,14.7,323400.0,372734.13633664313,308280.0
150,6.122000000000001,14.1,14.7,451500.0,502035.47865131707,440580.0
151,5.404,13.28,14.7,411600.0,437614.402079978,402990.0
152,5.012,12.12,14.7,321300.0,409808.14346267004,345030.0
153,5.709,15.79,14.7,407400.0,442628.7324131926,354060.0
154,6.129,15.12,14.7,357000.0,492199.64164596633,355110.0
155,6.152,15.02,14.7,327600.0,495568.8445207408,400470.0
156,5.272,16.14,14.7,275100.0,394640.5102606914,366450.0
157,6.943,4.59,14.7,867300.0,683724.0596450451,674940.0
158,6.066,6.43,14.7,510300.0,575655.6908815907,502110.0
159,6.51,7.39,14.7,489300.0,610809.5447927526,504840.0
160,6.25,5.5,14.7,567000.0,603953.4830545401,561330.0
161,5.854,11.64,14.7,476700.0,500260.8290305142,449400.0
162,6.101,9.81,14.7,525000.0,544260.8980131135,511350.0
163,5.877000000000001,12.14,14.7,499800.0,497426.17417565745,424620.0
164,6.319,11.1,14.7,499800.0,553056.4906708221,483630.0
165,6.402,11.32,14.7,468300.0,559208.8648661769,476700.0
166,5.875,14.43,14.7,365400.0,473545.0539927961,361410.0
167,5.88,12.03,14.7,401100.0,498868.142864909,424620.0
168,5.572,14.69,16.6,485100.0,403069.1737142382,466620.0
169,6.416,9.04,16.6,495600.0,547181.496567174,492870.0
170,5.859,9.64,16.6,474600.0,484424.54280789243,457380.0
171,6.546,5.33,16.6,617400.0,598741.1236553368,618450.0
172,6.02,10.11,16.6,487200.0,495911.4403585328,472920.0
173,6.315,6.29,16.6,516600.0,565361.153832183,510090.0
174,6.86,6.92,16.6,627900.0,614181.8201571102,531090.0
175,6.98,5.04,17.8,781200.0,622421.1210890505,773220.0
176,7.765,7.56,17.8,835800.0,676067.2173378401,804930.0
177,6.144,9.45,17.8,760200.0,491942.35693642613,456960.0
178,7.155,4.82,17.8,795900.0,642463.897298812,782670.0
179,6.563,5.68,17.8,682500.0,573464.9995149109,633780.0
180,5.604,13.98,17.8,554400.0,390276.172090257,500850.0
181,6.153,13.15,17.8,621600.0,454599.01858682366,433860.0
182,6.782,6.68,15.2,672000.0,636024.350708948,642390.0
183,6.556,4.56,15.2,625800.0,634998.5085181557,626010.0
184,7.185,5.39,15.2,732900.0,690279.8758868095,706230.0
185,6.9510000000000005,5.1,15.2,777000.0,669520.014894902,759360.0
186,6.739,4.69,15.2,640500.0,652234.6204447057,619920.0
187,7.178,2.87,15.2,764400.0,715625.3572162387,720510.0
188,6.8,5.03,15.6,653100.0,647118.1133737918,645960.0
189,6.604,4.38,15.6,611100.0,633938.7674669281,634200.0
190,7.287000000000001,4.08,12.6,699300.0,764844.8832259793,693000.0
191,7.107,8.61,12.6,636300.0,699730.0710381116,692370.0
192,7.274,6.62,12.6,726600.0,737261.9748245454,716100.0
193,6.975,4.56,17.0,732900.0,642465.3787682825,719040.0
194,7.135,4.45,17.0,690900.0,659847.8072001825,700980.0
195,6.162000000000001,7.43,14.7,506100.0,575062.9607077523,495810.0
196,7.61,3.11,14.7,888300.0,766748.4797200449,919380.0
197,7.853,3.81,14.7,1018500.0,784182.8222464953,997080.0
198,5.891,10.87,18.6,474600.0,435983.57174232206,452550.0
199,6.3260000000000005,10.97,18.6,512400.0,479115.83741616475,478800.0
200,5.7829999999999995,18.06,18.6,472500.0,350675.2648180827,463680.0
201,6.064,14.66,18.6,512400.0,414360.83561094577,453810.0
202,5.343999999999999,23.09,18.6,420000.0,254093.88919302193,389130.0
203,5.96,17.27,18.6,455700.0,376814.7690524289,450660.0
204,5.404,23.98,18.6,405300.0,250983.3956704524,395640.0
205,5.807,16.03,18.6,470400.0,374101.74164722214,473340.0
206,6.375,9.38,18.6,590100.0,500531.10834484553,583590.0
207,5.412000000000001,29.55,18.6,497700.0,194203.16913944838,448350.0
208,6.182,9.47,18.6,525000.0,480004.9326769225,506310.0
209,5.888,13.51,16.4,489300.0,451251.2839448566,471240.0
210,6.642,9.69,16.4,602700.0,567303.9975578415,551880.0
211,5.9510000000000005,17.92,16.4,451500.0,412049.4198472692,452340.0
212,6.372999999999999,10.5,16.4,483000.0,531616.7917198304,479640.0
213,6.9510000000000005,9.71,17.4,560700.0,578984.427020503,623070.0
214,6.164,21.46,17.4,455700.0,377586.85125387955,392280.0
215,6.879,9.93,17.4,577500.0,569399.4046546443,547890.0
216,6.617999999999999,7.6,17.4,632100.0,566991.3069941107,588630.0
217,8.266,4.14,17.4,940800.0,770090.9480707659,962850.0
218,8.04,3.13,17.4,789600.0,757587.9690801558,917700.0
219,7.162999999999999,6.36,17.4,663600.0,635147.3299097222,673050.0
220,7.686,3.92,17.4,980700.0,713477.3732888114,940590.0
221,6.5520000000000005,3.76,17.4,661500.0,599994.911476396,673260.0
222,5.981,11.65,17.4,510300.0,460439.6440320486,484260.0
223,7.412000000000001,5.25,17.4,665700.0,671905.8327981989,667590.0
224,8.337,2.47,17.4,875700.0,794567.0950258494,921270.0
225,8.247,3.95,17.4,1014300.0,770126.4027948501,984900.0
226,6.726,8.05,17.4,609000.0,573303.8254943776,578760.0
227,6.086,10.88,17.4,504000.0,479062.0784770802,481110.0
228,6.631,9.54,17.4,527100.0,548252.0776809637,537390.0
229,7.358,4.73,17.4,661500.0,671799.8035984675,678090.0
230,6.481,6.36,16.6,497700.0,581491.6144894984,501900.0
231,6.606,7.37,16.6,489300.0,583739.9028176405,524370.0
232,6.897,11.38,16.6,462000.0,571823.1465567317,490980.0
233,6.095,12.4,16.6,422100.0,479848.25266091945,438060.0
234,6.358,11.22,16.6,466200.0,518751.9812212315,475020.0
235,6.393,5.19,16.6,497700.0,584654.3570791391,533400.0
236,5.593,12.5,19.1,369600.0,379130.32580397726,370440.0
237,5.605,18.46,19.1,388500.0,318723.71811158274,394170.0
238,6.108,9.16,19.1,510300.0,465953.9030517733,469560.0
239,6.226,10.15,19.1,430500.0,467698.26550254726,442680.0
240,6.433,9.52,19.1,514500.0,495229.35539718356,525630.0
241,6.718,6.56,19.1,550200.0,554771.5568845203,551250.0
242,6.487,5.9,19.1,512400.0,538142.0029313712,549570.0
243,6.438,3.59,19.1,520800.0,557051.8072452942,536130.0
244,6.957000000000001,3.53,19.1,621600.0,610367.0886006423,718410.0
